2025-11-29 20:54:12,644 | INFO | root | ===== Run Started =====
2025-11-29 20:54:12,644 | INFO | root | RUN_ID: 20251129T152412Z
2025-11-29 20:54:12,644 | INFO | root | User Query: Analyze ROAS drop
2025-11-29 20:54:12,644 | INFO | root | Config file loaded successfully.
2025-11-29 20:54:12,644 | INFO | agents.data_agent | DataAgent loading data from: data/synthetic_fb_ads_undergarments.csv
2025-11-29 20:54:12,816 | INFO | agents.data_agent | Starting Campaign Canonicalization...
2025-11-29 20:54:12,875 | INFO | agents.data_agent | Data cleaning complete. Consolidated into 11 Master Campaigns.
2025-11-29 20:54:12,875 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 20:54:12,918 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 20:54:12,919 | INFO | root | Generated 0 hypotheses.
2025-11-29 20:54:12,921 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 20:54:12,921 | INFO | root | Validated 0 insights (min_conf=0.6).
2025-11-29 20:54:12,923 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 20:54:12,923 | INFO | root | Generated creatives for 0 campaigns.
2025-11-29 20:54:12,925 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 20:54:12,926 | INFO | root | Final Report generated → reports/report.md
2025-11-29 20:54:12,930 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 20:54:12,930 | INFO | root | Logs Folder: logs/20251129T152412Z
2025-11-29 20:54:12,931 | INFO | root | ======================================
