2025-11-29 22:45:50,842 | INFO | root | ===== Run Started =====
2025-11-29 22:45:50,842 | INFO | root | RUN_ID: 20251129T171550Z
2025-11-29 22:45:50,843 | INFO | root | User Query: Analyze ROAS drop
2025-11-29 22:45:50,844 | INFO | root | Config file loaded successfully.
2025-11-29 22:45:50,845 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 22:45:50,881 | ERROR | agents.data_agent | Data loading error: 'DataAgent' object has no attribute 'MASTER_CAMPAIGNS'
2025-11-29 22:45:50,882 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 22:45:50,882 | INFO | root | Generated 0 insights.
2025-11-29 22:45:50,883 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 22:45:50,883 | INFO | root | Validated 0 insights.
2025-11-29 22:45:50,884 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 22:45:50,884 | INFO | root | Generated creatives for 0 campaigns.
2025-11-29 22:45:50,885 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 22:45:50,885 | INFO | root | Final Report generated → reports/report.md
2025-11-29 22:45:50,885 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 22:45:50,886 | INFO | root | Logs Folder: logs/20251129T171550Z
2025-11-29 22:45:50,886 | INFO | root | ======================================
