2025-11-29 19:53:40,099 | INFO | root | ===== Run Started =====
2025-11-29 19:53:40,099 | INFO | root | RUN_ID: 20251129T142340Z
2025-11-29 19:53:40,099 | INFO | root | User Query: Analyze the ROAS Drop
2025-11-29 19:53:40,099 | INFO | root | Config file loaded successfully.
2025-11-29 19:53:40,102 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 19:53:40,104 | INFO | root | Reading dataset: data/synthetic_fb_ads_undergarments.csv
2025-11-29 19:53:40,124 | INFO | root | Running dataset validation...
2025-11-29 19:53:40,124 | INFO | root | ✔ All required columns are present.
2025-11-29 19:53:40,124 | WARNING | root | ⚠ Column 'spend' contains 113 null values.
2025-11-29 19:53:40,124 | WARNING | root | ⚠ Column 'clicks' contains 152 null values.
2025-11-29 19:53:40,124 | WARNING | root | ⚠ Column 'revenue' contains 133 null values.
2025-11-29 19:53:40,124 | WARNING | root | ⚠ Column 'roas' contains 9 null values.
2025-11-29 19:53:40,124 | INFO | root | ✔ Type validation completed.
2025-11-29 19:53:40,322 | INFO | root | ✔ Data summary created.
2025-11-29 19:53:40,329 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 19:53:40,329 | INFO | root | Generated 120 hypotheses.
2025-11-29 19:53:40,330 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 19:53:40,333 | INFO | root | Validated 35 insights (min_conf=0.6).
2025-11-29 19:53:40,333 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 19:53:40,333 | INFO | root | Generated creatives for 35 campaigns.
2025-11-29 19:53:40,333 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 19:53:40,333 | INFO | root | Final Report generated → reports/report.md
2025-11-29 19:53:40,337 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 19:53:40,337 | INFO | root | Logs Folder: logs/20251129T142340Z
2025-11-29 19:53:40,337 | INFO | root | ======================================
