2025-11-29 20:57:10,700 | INFO | root | ===== Run Started =====
2025-11-29 20:57:10,701 | INFO | root | RUN_ID: 20251129T152710Z
2025-11-29 20:57:10,702 | INFO | root | User Query: Analyze ROAS drop
2025-11-29 20:57:10,706 | INFO | root | Config file loaded successfully.
2025-11-29 20:57:10,708 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 20:57:10,944 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 20:57:10,944 | INFO | root | Generated 9 hypotheses.
2025-11-29 20:57:10,944 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 20:57:10,944 | INFO | root | Validated 2 insights (min_conf=0.6).
2025-11-29 20:57:10,944 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 20:57:10,959 | INFO | root | Generated creatives for 2 campaigns.
2025-11-29 20:57:10,959 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 20:57:10,959 | INFO | root | Final Report generated → reports/report.md
2025-11-29 20:57:10,959 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 20:57:10,959 | INFO | root | Logs Folder: logs/20251129T152710Z
2025-11-29 20:57:10,959 | INFO | root | ======================================
