2025-11-29 22:35:56,801 | INFO | root | ===== Run Started =====
2025-11-29 22:35:56,802 | INFO | root | RUN_ID: 20251129T170556Z
2025-11-29 22:35:56,802 | INFO | root | User Query: Analyze ROAS drop
2025-11-29 22:35:56,804 | INFO | root | Config file loaded successfully.
2025-11-29 22:35:56,805 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 22:35:56,851 | ERROR | agents.data_agent | Data loading error: 'DataAgent' object has no attribute 'MASTER_CAMPAIGNS'
2025-11-29 22:35:56,854 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 22:35:56,854 | INFO | root | Generated 0 hypotheses.
2025-11-29 22:35:56,854 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 22:35:56,855 | INFO | root | Validated 0 insights (min_conf=0.6).
2025-11-29 22:35:56,856 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 22:35:56,859 | INFO | root | Generated creatives for 0 campaigns.
2025-11-29 22:35:56,861 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 22:35:56,861 | INFO | root | Final Report generated → reports/report.md
2025-11-29 22:35:56,863 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 22:35:56,863 | INFO | root | Logs Folder: logs/20251129T170556Z
2025-11-29 22:35:56,864 | INFO | root | ======================================
