2025-11-29 19:19:21,622 | INFO | root | ===== Run Started =====
2025-11-29 19:19:21,622 | INFO | root | RUN_ID: 20251129T134921Z
2025-11-29 19:19:21,622 | INFO | root | User Query: Analyze the ROAS drop
2025-11-29 19:19:21,622 | INFO | root | Config file loaded successfully.
2025-11-29 19:19:21,622 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 19:19:21,622 | INFO | root | Reading dataset: data/synthetic_fb_ads_undergarments.csv
2025-11-29 19:19:21,654 | INFO | root | Running dataset validation...
2025-11-29 19:19:21,654 | INFO | root | ✔ All required columns are present.
2025-11-29 19:19:21,654 | WARNING | root | ⚠ Column 'spend' contains 113 null values.
2025-11-29 19:19:21,654 | WARNING | root | ⚠ Column 'clicks' contains 152 null values.
2025-11-29 19:19:21,654 | WARNING | root | ⚠ Column 'revenue' contains 133 null values.
2025-11-29 19:19:21,654 | WARNING | root | ⚠ Column 'roas' contains 9 null values.
2025-11-29 19:19:21,654 | INFO | root | ✔ Null check completed.
2025-11-29 19:19:21,654 | INFO | root | ✔ Type validation completed.
2025-11-29 19:19:21,654 | INFO | root | Dataset loaded and validated. Generating summary...
2025-11-29 19:19:21,908 | INFO | root | ✔ Data summary created.
2025-11-29 19:19:21,908 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 19:19:21,908 | INFO | agent.insight_agent | InsightAgent: loading data from data/synthetic_fb_ads_undergarments.csv
2025-11-29 19:19:22,812 | INFO | agent.insight_agent | InsightAgent: generated 367 hypotheses
2025-11-29 19:19:22,844 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 19:19:22,844 | INFO | agent.evaluator | EvaluatorAgent: validated 367 hypotheses
2025-11-29 19:19:22,860 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 19:19:23,128 | INFO | agent.creative_agent | CreativeAgent: generated creatives for 367 campaigns
2025-11-29 19:19:23,128 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 19:19:23,145 | INFO | root | Final Report generated → reports/report.md
2025-11-29 19:19:23,145 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 19:19:23,145 | INFO | root | Logs Folder: logs/20251129T134921Z
2025-11-29 19:19:23,145 | INFO | root | ======================================
