2025-11-29 20:48:17,138 | INFO | root | ===== Run Started =====
2025-11-29 20:48:17,138 | INFO | root | RUN_ID: 20251129T151817Z
2025-11-29 20:48:17,138 | INFO | root | User Query: Analyze ROAS drop
2025-11-29 20:48:17,158 | INFO | root | Config file loaded successfully.
2025-11-29 20:48:17,159 | INFO | root | PlannerAgent completed. Saved planner.json
2025-11-29 20:48:17,286 | INFO | root | DataAgent summary complete. Saved data_summary.json
2025-11-29 20:48:17,286 | INFO | root | Generated 9 hypotheses.
2025-11-29 20:48:17,288 | INFO | root | InsightAgent generated hypotheses. Saved hypotheses.json
2025-11-29 20:48:17,289 | INFO | root | Validated 2 insights (min_conf=0.6).
2025-11-29 20:48:17,292 | INFO | root | EvaluatorAgent completed. Saved reports/insights.json
2025-11-29 20:48:17,294 | INFO | root | Generated creatives for 2 campaigns.
2025-11-29 20:48:17,296 | INFO | root | CreativeAgent completed. Saved reports/creatives.json
2025-11-29 20:48:17,299 | INFO | root | Final Report generated → reports/report.md
2025-11-29 20:48:17,303 | INFO | root | ===== Run Completed Successfully =====
2025-11-29 20:48:17,304 | INFO | root | Logs Folder: logs/20251129T151817Z
2025-11-29 20:48:17,305 | INFO | root | ======================================
